"CountryCode","SeriesCode","DESCRIPTION",
"BGD","SG.GEN.PARL.ZS","In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008.",
"BGD","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BGD","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BGR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BGR","SP.DYN.CBRT.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.CDRT.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.LE00.FE.IN","Data source: Eurostat",
"BGR","SP.DYN.LE00.MA.IN","Data source: Eurostat",
"BGR","SP.DYN.TFRT.IN","Data source: Eurostat",
"BGR","SP.POP.TOTL","Data source: Eurostat",
"BHR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens.",
"BHR","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BHR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BHS","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BHS","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BIH","SG.POP.MIGR.FE.ZS","There were no data on international migrants for the country or area concerned and that the estimates presented were imputed. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BIH","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BIH","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BLR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BLR","SP.DYN.CBRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects",
"BLR","SP.DYN.CDRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects",
"BLR","SP.DYN.LE00.FE.IN","Data source: Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE",
"BLR","SP.DYN.LE00.MA.IN","Data source: Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE",
"BLR","SP.DYN.TFRT.IN","Data source: Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects",
"BLR","SP.POP.TOTL","Data source: National Statistical Committee of the Republic of Belarus",
"BLZ","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
